,Date,Content,Retweet-count,Like-count,Reply-count,pos,neu,neg,compound,polarity_category
0,2019-03-01 01:18:54+00:00,Before 2014 elections Modi promid a lot but did he stick his words or was it all Jumla #GoBackModi #GoBacntitiolModi #FilStri #Abhindhan #raJawanSabMazboot #raJothSabMazboot #ThankYouImranKhan #BringAbhindanBack #ModiFailstiolcurity,0,1,0,0.0,1.0,0.0,0.0,neutral
1,2019-03-01 01:27:52+00:00,Do you want an educated PM of India or a tea ller #GoBackModi #GoBacntitiolModi #FilStri #Abhindhan #raJawanSabMazboot #raJothSabMazboot #ThankYouImranKhan #PastanLeadsWithPeace #BringAbhindanBack #BJPsPlot4Vote #ModiFailstiolcurity,0,0,0,0.056,0.944,0.0,0.0772,positive
2,2019-03-01 01:34:45+00:00,As a tion we must decide whether we ed a Nobel leate antitiol or a tiolist cwala#tionFirst #MoAgain,0,0,0,0.0,1.0,0.0,0.0,neutral
3,2019-03-01 01:44:59+00:00,If not a ssion of mann baat or a interview with a jourlist asng him about his sleep schedule i atleast expected an official statent from the Pri Mister regarding the confirmation and demand return our pilot #GoBackModi,0,2,0,0.0,0.961,0.039,-0.128,negative
4,2019-03-01 01:55:25+00:00,Returng of Abhindan is just becau of Sidhu and not NaNaNarendra Modi or Our Indian Army Now Sidhu will Order Imran Khan Relea Kulbhushan dav also We are waiting SidhuJai Hind#GoBackModi #Abhindan #TerroristtionPastan #Kulbhushanjadhavca,0,0,0,0.0,1.0,0.0,0.0,neutral
5,2019-03-01 02:07:36+00:00,#GoBackModi2019 Modi is going start w startup for his w career Modi tea sp have a ce career Modi such a idiot he dont dont w rule Indian gov just he is a best spear he start with bai or ban end of Modi rule ampBJP gud b,0,1,0,0.075,0.802,0.123,-0.4019,negative
6,2019-03-01 02:10:17+00:00,There are pple dnt care what Modi is doing for the tion they just try defa him and getting pleasure in that Even if Jesus or Ram or Alla ca and say Modi is a good leader they wont accept When you corr soo for no reason God gives him more power #GoBackModi,1,2,0,0.156,0.746,0.098,0.681,positive
7,2019-03-01 02:41:33+00:00,There is no cice for Modi haters other than trending #GoBackModi This trend sws the mindt of trairs and anti tiols Rattled political class foreeing their defeat and started playing political gimmicks The people li or not Modi will be PM for xt 5 ars,0,0,0,0.034,0.762,0.204,-0.836,negative
8,2019-03-01 02:48:34+00:00,So Pastan returns him day Will b interesting e if he eps his words in india n tells the truth of what happnd OR pressurid tell the fal and ma indian public fool again#PastanLeadsWithPeace#FilStri#ThankYouImranKhan#GoBackModi#WelcoBacbhindan,0,1,0,0.129,0.797,0.075,0.2732,positive
9,2019-03-01 02:49:02+00:00,Reply or cmnt #gobackmodi tag,19,41,12,0.0,1.0,0.0,0.0,neutral
10,2019-03-01 02:56:43+00:00,Fourth visit TN in a month as election is around but didnt get ti visit when the state was in crisis during cyclo Gaja or Och Thats why we say #Gobackmodi,4,3,0,0.0,0.842,0.158,-0.7684,negative
11,2019-03-01 02:59:03+00:00,Guys you all indians are talng about only #Abhindan what about other pilot w st down by us No o is talng about him arent hes indian or human#ThankYouImranKhan#LetBetternPrevail#GoBackModi,0,0,0,0.0,0.927,0.073,-0.296,negative
12,2019-03-01 03:08:26+00:00,#GoBackModiWe dont a PM w tas credit for everything but a Humble PM wo appreciates everyos efforts be it the MilitaryFarr or any common citizen irrespective of religioncaste and colourRahul Gandhi fits this description,1,0,0,0.163,0.837,0.0,0.7391,positive
13,2019-03-01 03:13:35+00:00,Maybe Education matters and mas a lot of difference Or maybe Marraige and family Or is it just the way a person is Shrug #OxfordVsFeku#GoBackModi,0,2,1,0.044,0.956,0.0,0.0258,neutral
14,2019-03-01 03:18:48+00:00,Whether you li him or not but you can not ignore him #GoBackModi,1,1,0,0.182,0.818,0.0,0.395,positive
15,2019-03-01 03:21:07+00:00,#GobackModi is trending again When ever PM Modi cos Tamil du this slogan and ash tag is raid If its do again and again then it sws the riousss of issue It may planted once or twice but ntints stick with people do it successful Think #BJP,2,5,0,0.102,0.898,0.0,0.7351,positive
16,2019-03-01 03:32:35+00:00,Closing Waltair railway division and giving the main wing of it Raigarh thus mang it a railway division is injustice Andhra PradeshThis is nothing against Raigarh or Orrisa Raigarh can be made a division witut disturbing Waltair division#GoBackModi,1,7,0,0.054,0.788,0.158,-0.6808,negative
17,2019-03-01 03:51:00+00:00,Past few days have made reali k Indian dia say bara chui or chawal or i hin sakta Pasta CoD plars bhi hin #undisputed #PastanLeadsWithPeace #FilStri #GoBackModi #AbhindanVarthaman,0,0,0,0.0,1.0,0.0,0.0,neutral
18,2019-03-01 04:08:52+00:00,I Think Tamidu is in india or sowhere ar Pastan or Srilan Dont worry he will be back after attending his programGandu sale Literate k baad bhi foolish jaisi Harte rte He is the strongest PM After Atal Bhihari Tum hi samjoge #GoBackModi,0,1,0,0.112,0.844,0.044,0.4949,positive
19,2019-03-01 04:11:00+00:00,Plea tweet in English or HindiI am feeling crazy now I am not able understand any tweet #gobackmodi,0,0,0,0.075,0.804,0.121,-0.2263,negative
20,2019-03-01 04:49:51+00:00,#goBackModi or #Tamildu will go their Back on your FACE literally,0,0,0,0.0,1.0,0.0,0.0,neutral
21,2019-03-01 04:56:47+00:00,Not sure if #GoBackModi is urging all of us go and back Modi for the 2019 campaign or nd him back on his foreign urs Well at least the intertiol commuty supports us Guess foreign vacations are uful after all,0,0,0,0.106,0.849,0.045,0.3895,positive
22,2019-03-01 04:56:50+00:00,#GoBackModi IND your country Cherish the tural wonders cherish the tural resourcescherish the hisry and romance as a sacred heritage for your and your childrens Do not let lfish greedy politicians sn your country of its beauty its riches or its romance,0,0,0,0.381,0.619,0.0,0.9664,positive
23,2019-03-01 05:02:28+00:00,Modi is really a devil of ti Indians must have exami his gender status whether hes mo or shemale #GoBackModi #GoBacntitiolModi,0,0,0,0.0,0.81,0.19,-0.6887,negative
24,2019-03-01 05:11:05+00:00,#GoBackModiHAL pt the very old jets li Mirage or mig 21 at worng condition,2,1,2,0.0,1.0,0.0,0.0,neutral
25,2019-03-01 05:20:32+00:00,#GoBackModi Noutan Modi Or us dia partr aaj tak Zee ws Republic tvGo back modi,0,0,0,0.0,1.0,0.0,0.0,neutral
26,2019-03-01 05:30:48+00:00,india walo imran khan shur ada ro us jang ignor k or aap aap piolate waps rdwer jang ti aaj hum bumba resrant pe shta rte great leader imran khan #GoBackModi,1,2,0,0.12,0.88,0.0,0.6249,positive
27,2019-03-01 05:43:28+00:00,I logged in #Twitter after 9 long ars just tweet this #GoBackModi#Modi or his cabit didnt sw when #CycloOckhi struck #nkumariAnd now visiting #Tamildu for political party promo is the lowest of lowest o can get#NoMoreModi #GoBackSadistModi #FacistBJP,0,2,1,0.062,0.774,0.164,-0.5423,negative
28,2019-03-01 05:48:14+00:00,#GoBackModi Wondering w #GoBackModi is trending Is it an anomaly or a large number of Mir Qasims have been tweeting getherThen it was Robert Clive now its the INCIndia thats paying themis it,0,2,0,0.039,0.961,0.0,0.0772,positive
