,Date,Content,Retweet-count,Like-count,Reply-count,pos,neu,neg,compound,polarity_category
13402,2019-05-21 23:16:26+00:00,Be the change you want e in the world#Gandhi,0,0,0,0.14,0.86,0.0,0.0772,positive
13401,2019-05-21 22:53:40+00:00,5 #BJP #RahulNowLiability #RahulGandhi #Congress #malth #PrinGandhi #Dalaldia #MadhPradesh,1,3,0,0.0,1.0,0.0,0.0,neutral
13400,2019-05-21 22:42:35+00:00,#election #vote #politics #india #bjp #congress #elections #NaNarendra Modi #ws #rahulgandhi #modi #indian #amitshah #follow #rss #democracy #voting #delhi #mo,2,0,0,0.0,1.0,0.0,0.0,neutral
13399,2019-05-21 21:24:42+00:00,Cambia t ties el control#Gandhi #beehappy #ChangeMyMind #wornggether,0,0,0,0.0,1.0,0.0,0.0,neutral
13398,2019-05-21 20:43:07+00:00,Sin accin no vas a ir a ngn lado#Gandhi #beehappy #worng,0,0,0,0.0,0.608,0.392,-0.7003,negative
13397,2019-05-21 19:42:36+00:00,The Great Experint#Gandhi celibacy experint had the following impact on won w slept d with him,0,0,1,0.358,0.642,0.0,0.8316,positive
13396,2019-05-21 19:29:45+00:00,We #INC believe that our hardwork will pay off We ver lo pe over rumours #ExitPoll2019Results #23rdMay #wIndia #wPM #RahulGandhi #PrinGandhi #AbgaNY #LokSabhaElections2019 yikdanz yikdann SahilRockk1 vid7281 roofbarca SPalakdan ShashiTharoor,1,5,0,0.0,0.954,0.046,-0.1027,negative
13395,2019-05-21 19:27:19+00:00,#HisryWhenBhagat Singh Sukhdev Rajguru were hangedChandrashekhar Azad Pritilata faced bulletsSavarr Batushwar Dutt were facing rture in la PaWhat was #Gandhi amp #hru was doing Any comnts#India,0,0,0,0.0,1.0,0.0,0.0,neutral
13394,2019-05-21 19:19:20+00:00,#cularism was desigd by the western powers put pressure on #india it was propagated by congressn li #Gandhi appea Muslim amp disute #Hindus on caste lis for political mileage Thus #Indian Hindus only require cularism#Hindu #Hinduism #HinduCharter,0,0,0,0.0,0.942,0.058,-0.296,negative
13393,2019-05-21 19:03:04+00:00,#EVM gyi #firstaidbox g har ek au i mil rhi #bjp #congress #modi #gandhi #,1,1,0,0.0,1.0,0.0,0.0,neutral
13392,2019-05-21 19:03:00+00:00,S el cambio que quieres ver en el mundo#Gandhi #beehappy #smile,0,0,0,0.2,0.8,0.0,0.3612,positive
13391,2019-05-21 18:52:40+00:00,EVMMAI 2 SAL PHLE OPPOSITION AGAH THA SARA DHN EVM HATWA LGAOUN KUCH TDA DHN DI BHI KUCH 1 BHI DHN DIAB BHUG 5 SAL#RahulGandhi #Akhileshdav#Mawati #MamtaBarjee #lalu,1,1,0,0.0,1.0,0.0,0.0,neutral
13390,2019-05-21 18:50:07+00:00,For centuries co Mahatma Gandhi is going challenge violence within us Every criticism of Mahatma Gandhi must result in inr peace and deeper commitnt work for peace and nonviolence#Gandhi,0,0,0,0.211,0.611,0.178,0.0772,positive
13389,2019-05-21 18:31:57+00:00,If the results on 23rd May will co in BJPs favour there is just a single request #Congress #RahulGandhi that plea spend xt five ars in Improving urlf rather than criticising Modi,0,0,0,0.152,0.775,0.072,0.4588,positive
13388,2019-05-21 18:30:38+00:00,Cre cre appreciate rthahe5 ar jumla mli#inc #bjp,0,0,0,0.278,0.722,0.0,0.4019,positive
13387,2019-05-21 18:23:34+00:00,Theory RaGa probably presd AAP on the EVM thinng it was referring him Then saw on the VVPAT it didnt say CONGRESS on the slip And now he thinks the wle system is rigged #RahulGandhi #rendraModi #EVMHacng #Elections2019results,0,1,0,0.0,0.937,0.063,-0.3612,negative
13386,2019-05-21 17:59:20+00:00,Breang ws EVM r gon get hacd very soon No matter between w much curity the machis r pt They r gon start getting hacd on 23rd May2019 from 730 AM onwards #IndiantiolCongress #RahulGandhi #EVMs,0,0,1,0.036,0.927,0.038,-0.0153,neutral
13385,2019-05-21 17:53:06+00:00,#Bharatd #cwdaarcr #Raga,0,0,0,0.0,1.0,0.0,0.0,neutral
13384,2019-05-21 17:46:56+00:00,dia is experiencing Congress Orgasm along with BJP spospersons #Congress #RahulGandhi #INC #UPcongress,0,0,0,0.0,1.0,0.0,0.0,neutral
13383,2019-05-21 17:39:05+00:00,Modi si samstha yoj #Modi am hi di jab saarey #hru#Gandhi family waley PMs apy am har jagah upyog phir bhi shiqwa Modi chha rahey,0,0,0,0.0,1.0,0.0,0.0,neutral
13382,2019-05-21 17:36:38+00:00,#ExitPolls #RahulGandhi #ExitPollPbia,0,0,0,0.0,1.0,0.0,0.0,neutral
13381,2019-05-21 17:34:02+00:00,#AlAmba #tiolHerald #RahulGandhi #congress 5000 #ExitPoll2019 #ABPExitPoll2019 #AajTaxixitPoll #ws18IpsoxitPoll,1,4,0,0.0,1.0,0.0,0.0,neutral
13380,2019-05-21 17:30:59+00:00,#RahulGandhi becoming #PriMister of India would be even wor than #Bran the #Bron becoming #ng of #Westeros #LokSabhaElections2019 #2019Elections #GaofThros,0,0,0,0.0,1.0,0.0,0.0,neutral
13379,2019-05-21 17:29:45+00:00,#RahulGandhi #rendraModi #EVM OK #ElectionCommission #pmo indiaMY VOTE OK AND MY FAMILY MBERS VOTE OK FIL RESULTS EVM OK,0,0,0,0.439,0.561,0.0,0.8941,positive
13378,2019-05-21 17:26:50+00:00,#rahulgandhi,0,0,1,0.0,1.0,0.0,0.0,neutral
13377,2019-05-21 17:24:28+00:00,#RahulGandhi #yogendradav,0,0,0,0.0,1.0,0.0,0.0,neutral
13376,2019-05-21 17:20:36+00:00,# # # #modiji #akhileshdav #mawati #mamtabanrji #rahulgandhi #jariwali,0,1,0,0.0,1.0,0.0,0.0,neutral
13375,2019-05-21 17:19:32+00:00,O Day #PrinGandhi will Beco the 2nd Female PM of India amp She will be the Greatest Leader Hisry has ever en or Future will ever Witss Long Live the Queen #Congress #RahulGandhi #ModiAaGa #BJP #BJP #23rdMay #ws #India #Respect #Bharat #Love #JaiHind,0,0,0,0.223,0.777,0.0,0.91,positive
13374,2019-05-21 17:03:11+00:00,of #Indian muslim vote #BJP even in ugh Circumstances is continously increasing from last 20 y All w tried aliete from bjp r failing Dont ta Muslim for granted Now #modi ArbGoswamiRtv and biad #Ancr suld give space #INC #AITC BDUTT PrannoyRoyNDTV,0,1,0,0.042,0.828,0.13,-0.6249,negative
13373,2019-05-21 16:46:52+00:00,Theres the cond part of #RAGA random convos while playing #Anthem do Maybe Ill post it ght Mang progress with the video editing with the extra ti that I have now Haha,0,1,0,0.198,0.729,0.073,0.5859,positive
13372,2019-05-21 16:42:44+00:00,#NoFarziNumbersYo you clueless buffoon RahulGandhi if EVMs were not reliable want reelection the states you won in NovDec last ar If not then STFU scumbag #Pappu420 #Pappu #rahulgandhi,0,0,0,0.203,0.69,0.107,0.6537,positive
13371,2019-05-21 16:41:24+00:00,15 72 #Modi #IndiaWithEC#EVMs #Mo #RaGa,0,1,0,0.0,1.0,0.0,0.0,neutral
13370,2019-05-21 16:37:36+00:00,About EVM tampering The accusations in past have always been contradicry The os w accu of tampering have usually won the election Diversion thats what it is#2019Elections #ElectionCommissionOfIndia #RahulGandhi,0,2,0,0.112,0.818,0.07,0.34,positive
13369,2019-05-21 16:37:30+00:00,tiol Party wi amp Other all party vote share projection According Shing India ExitPoll 2019#BJP 324 3#INC 268 3#Others 408 3 OthIncluding All Regiol Parties #ExitPoll2019 #ExitPolls #LoksabhaElections2019,8,9,0,0.3,0.7,0.0,0.8519,positive
13368,2019-05-21 16:34:49+00:00,#Evm 1 #Congress ii #RahulGandhi#inbhicwdar #rendraModi,0,0,0,0.0,1.0,0.0,0.0,neutral
13367,2019-05-21 16:34:13+00:00,#EVMs#BJP 100 screen st #rendraModi #INC #AajTak #abp #TV9#CwdarCr#2019Elections #BJPDemocracyBachao #BJP#AbBaarsSarr #AmitShah,1,1,0,0.0,1.0,0.0,0.0,neutral
13366,2019-05-21 16:33:38+00:00,Poor Strategy Poor Results Poor #RahulGandhiAny surpri Things could have been sowhat different IF #Congress would have made an alliance in Uttar Pradesh West Bengal before the electionsDivided they stand Uted they fall But bla the winrs #EVMs #ECI,0,0,0,0.0,0.854,0.146,-0.631,negative
13365,2019-05-21 16:29:55+00:00,Reporter #RahulGandhi which is your favourite sweetPappu Izzat Falooda,0,1,0,0.0,1.0,0.0,0.0,neutral
13364,2019-05-21 16:22:32+00:00,#rendraModi #Mawati #RahulGandhi #Akhileshdav,0,1,0,0.0,1.0,0.0,0.0,neutral
13363,2019-05-21 16:19:24+00:00,#Rahulgandhi #Mahagatbandhan Exit Poles are not controlled by EC Atleast have faith in any o of them Just wait and accept thats tge way forward Work in ground and prepare for xt election,0,0,0,0.148,0.852,0.0,0.6597,positive
13362,2019-05-21 16:15:47+00:00,Waah re modi ji sare virodhiyo bhi cwdaar ba di Sab raat 2 bhar jag r evm cwdaari r rahe #rahulgandhi #ndtv #Akhileshdav,0,0,0,0.0,1.0,0.0,0.0,neutral
13361,2019-05-21 16:15:03+00:00,effect of hugging #RahulGandhi wins AL AMBA by his love,0,0,0,0.605,0.395,0.0,0.8934,positive
13360,2019-05-21 16:06:34+00:00,#EVM targeted post #ExitPoll2019 it was ver a question during rallies Political drama of #Chandrababuidu#MamtaBarjee #politicallor #rahulgandhi #IndiawithEC,0,0,0,0.0,1.0,0.0,0.0,neutral
13359,2019-05-21 16:04:15+00:00,The election lors #RahulGandhi doesnt have the guts bla the voters nor do a retrospective bla no but themlves Instead they speak with both sides of their mouth doublespeak bla #EVMs announce w popular they areCc #PrabMukherjee #IndiaWithEC,0,1,0,0.09,0.872,0.039,0.4767,positive
13358,2019-05-21 16:02:52+00:00,was #RahulGandhi going LONDON buy JETAIR,0,0,0,0.0,1.0,0.0,0.0,neutral
13357,2019-05-21 15:58:43+00:00,#Friends riously dont loo your friends over political opions No #Modi o #raga influenced our friendship dey are nothing,1,5,1,0.233,0.582,0.185,0.3063,positive
13356,2019-05-21 15:53:23+00:00,W is rumouring now that #RaGa says #ExitPoll2019 ed #VVPAT verification,0,0,0,0.0,1.0,0.0,0.0,neutral
13355,2019-05-21 15:51:51+00:00,I have been ld that #RaGa has demanded for recounting of #ExitPolls2019,0,1,0,0.0,0.853,0.147,-0.2263,negative
13354,2019-05-21 15:48:06+00:00,Society ldom teaches w lfdefu violent impuls amp find powerful altertives t impuls li MLK amp Gandhi did #society #impuls #feelings #emotions #MLK #MLKJr #Gandhi #MartinLutherng #nonviolence #endviolence #anger #rage #revenge #retaliation #stile,0,0,0,0.062,0.617,0.322,-0.9153,negative
13353,2019-05-21 15:46:57+00:00,Why India was divided in 1947en by behaviour of opposition parties The Power hungry parties blaming ECSC EVMs becau they are losing ats Shaming IndiaCountry rejected fal propaganda amp cn PM Accept it politely #AbBaar300Paar #2019Elections #INC #AAP,0,1,0,0.16,0.619,0.222,-0.4767,negative
